Player,MoTM Awards
A Chandila,1
A Kumble,3
A Mishra,11
A Nehra,6
A Nortje,2
A Singh,1
A Symonds,3
A Zampa,1
AA Jhunjhunwala,1
AB de Villiers,23
AB Dinda,2
AC Gilchrist,7
AC Voges,1
AD Mascarenhas,1
AD Mathews,1
AD Russell,11
AJ Finch,4
AJ Tye,2
AM Rahane,12
AP Tare,1
AR Patel,5
AS Joseph,1
AS Rajpoot,2
AT Rayudu,10
Azhar Mahmood,2
B Kumar,4
B Lee,2
B Stanlake,1
BA Bhatt,1
BA Stokes,5
BB McCullum,5
BCJ Cutting,1
BJ Hodge,6
BW Hilfenhaus,2
CA Lynn,3
CH Gayle,22
CH Morris,2
CJ Anderson,3
CJ Jordan,1
CL White,1
CR Brathwaite,1
CRD Fernando,1
CV Varun,1
DA Miller,3
DA Warner,17
DE Bollinger,2
DJ Bravo,3
DJ Hooda,1
DJ Hussey,2
DJG Sammy,1
DL Chahar,1
DL Vettori,1
DP Nannes,1
DPMD Jayawardene,5
DR Smith,10
DW Steyn,5
EJG Morgan,1
F du Plessis,4
G Gambhir,13
GC Smith,2
GD McGrath,1
GH Vihari,2
GJ Bailey,1
GJ Maxwell,3
Harbhajan Singh,8
Harmeet Singh,2
HF Gurney,1
HH Gibbs,1
HH Pandya,6
HM Amla,2
HV Patel,2
I Sharma,2
IK Pathan,2
Imran Tahir,1
Iqbal Abdulla,2
Ishan Kishan,2
J Botha,1
J Theron,1
JA Morkel,2
JC Archer,1
JC Buttler,6
JD Ryder,1
JD Unadkat,5
JDP Oram,1
JEC Franklin,1
JH Kallis,10
JJ Bumrah,6
JJ Roy,1
JM Bairstow,3
JP Duminy,3
JP Faulkner,5
K Rabada,1
KA Pollard,11
KC Sangakkara,5
KD Karthik,5
KH Pandya,4
KK Ahmed,1
KK Cooper,1
KK Nair,3
KL Rahul,7
KM Jadhav,2
KMA Paul,1
KMDN Kulasekara,1
KP Pietersen,3
KS Williamson,4
Kuldeep Yadav,1
KV Sharma,1
L Balaji,3
L Ngidi,1
LH Ferguson,2
LJ Wright,1
LMP Simmons,3
LR Shukla,1
LRPL Taylor,3
M Kartik,1
M Morkel,2
M Muralitharan,2
M Ntini,2
M Vijay,5
M Vohra,3
MA Agarwal,2
MA Starc,1
Mandeep Singh,3
MC Henriques,2
MD Mishra,1
MEK Hussey,12
MF Maharoof,1
MG Johnson,2
MJ Lumb,1
MJ McClenaghan,2
MK Pandey,5
MK Tiwary,3
ML Hayden,4
MM Patel,2
MM Sharma,1
MN Samuels,1
Mohammed Shami,1
Mohammed Siraj,2
MP Stoinis,4
MR Marsh,1
MS Bisla,1
MS Dhoni,17
MS Gony,1
Mujeeb Ur Rahman,1
Mustafizur Rahman,1
MV Boucher,2
N Rana,4
NM Coulter-Nile,4
NV Ojha,1
P Kumar,2
P Negi,2
P Parameswaran,1
PA Patel,4
PC Valthaty,2
PD Collingwood,1
PJ Cummins,1
PK Garg,1
PP Chawla,3
PP Ojha,1
PP Shaw,2
PV Tambe,2
Q de Kock,3
R Ashwin,3
R Bhatia,1
R Dravid,2
R McLaren,1
R Sharma,2
R Tewatia,1
R Vinay Kumar,3
RA Jadeja,8
RA Tripathi,2
Rashid Khan,8
RD Gaikwad,3
RE Levi,1
RG Sharma,18
RJ Harris,1
RP Singh,1
RR Pant,6
RS Bopara,1
RV Uthappa,7
S Anirudha,1
S Aravind,1
S Badrinath,1
S Dhawan,8
S Gopal,2
S Nadeem,2
S Sohal,1
S Sreesanth,1
SA Asnodkar,1
SA Yadav,5
Sandeep Sharma,5
SB Jakati,1
SB Wagh,1
SC Ganguly,5
SE Marsh,9
Shakib Al Hasan,2
Shivam Mavi,1
Shoaib Akhtar,1
Shubman Gill,2
SK Raina,14
SK Trivedi,2
SK Warne,4
SL Malinga,6
SM Curran,1
SM Katich,1
SM Pollock,2
SO Hetmyer,1
Sohail Tanvir,2
SP Goswami,1
SP Narine,9
SPD Smith,5
SR Tendulkar,8
SR Watson,16
SS Iyer,5
ST Jayasuriya,2
SV Samson,7
SW Billings,1
TA Boult,4
TG Southee,1
TL Suman,1
TM Dilshan,1
Umar Gul,1
UT Yadav,8
V Kohli,13
V Sehwag,11
VR Aaron,2
Washington Sundar,1
WP Saha,4
WPUJC Vaas,1
YK Pathan,16
YS Chahal,2
Yuvraj Singh,5
Z Khan,1
Mashrafe Mortaza,0
MJ Guptill,0
FY Fazal,0
JDS Neesham,0
R Dhawan,0
CJ Green,0
IR Jaggi,0
B Sumanth,0
R Parag,0
MM Ali,0
A Chopra,0
P Ray Barman,0
NL McCullum,0
Sachin Baby,0
RR Powar,0
P Amarnath,0
RN ten Doeschate,0
MA Khote,0
Parvez Rasool,0
AA Bilakhia,0
BAW Mendis,0
KJ Abbott,0
JE Taylor,0
AA Chavan,0
JR Hazlewood,0
Basil Thampi,0
Salman Butt,0
K Upadhyay,0
LS Livingstone,0
AB Agarkar,0
Ankit Sharma,0
M Manhas,0
AM Nayar,0
T Shamsi,0
STR Binny,0
V Pratap Singh,0
Karanveer Singh,0
Anureet Singh,0
KP Appanna,0
TU Deshpande,0
PSP Handscomb,0
AR Bawne,0
J Arunkumar,0
U Kaul,0
TM Head,0
AC Thomas,0
VH Zol,0
TK Curran,0
P Chopra,0
AN Ahmed,0
SM Boland,0
T Henderson,0
I Udana,0
AM Salvi,0
S Sandeep Warrier,0
IS Sodhi,0
SB Joshi,0
Shivam Sharma,0
AC Blizzard,0
LA Pomersbach,0
A Flintoff,0
DJ Muthuswami,0
S Chanderpaul,0
Kartik Tyagi,0
Abdul Samad,0
JR Hopes,0
H Das,0
SW Tait,0
KC Cariappa,0
SS Mundhe,0
VVS Laxman,0
Sunny Singh,0
Mohammad Nabi,0
K Goel,0
N Pooran,0
NJ Rimmington,0
RJ Quiney,0
DAJ Bracewell,0
P Sahu,0
AG Paunikar,0
AUK Pathan,0
Gagandeep Singh,0
GB Hogg,0
JP Behrendorff,0
BR Dunk,0
NA Saini,0
VRV Singh,0
DR Sams,0
C Madan,0
Abhishek Sharma,0
JL Denly,0
A Mukund,0
A Choudhary,0
S Vidyut,0
PA Reddy,0
DR Shorey,0
LE Plunkett,0
AG Murtaza,0
DT Christian,0
PJ Sangwan,0
A Dananjaya,0
T Natarajan,0
Pankaj Singh,0
T Kohli,0
Yashpal Singh,0
Mohammad Asif,0
JR Philippe,0
J Yadav,0
H Klaasen,0
NJ Maddinson,0
D du Preez,0
DJ Thornely,0
RD Chahar,0
S Randiv,0
N Saini,0
RV Gomez,0
RT Ponting,0
P Simran Singh,0
TD Paine,0
Y Prithvi Raj,0
Bipul Sharma,0
A Uniyal,0
Anirudh Singh,0
SS Shaikh,0
R Ninan,0
TP Sudhindra,0
CJ Dala,0
RR Bhatkal,0
WD Parnell,0
R Sathish,0
Sunny Gupta,0
MK Lomror,0
SE Bond,0
AP Dole,0
AA Noffke,0
RG More,0
O Thomas,0
KB Arun Karthik,0
CJ McKay,0
AF Milne,0
MJ Clarke,0
RR Raje,0
M Klinger,0
DR Martyn,0
SS Agarwal,0
LPC Silva,0
S Sriram,0
AP Majumdar,0
Shahbaz Ahmed,0
AD Nath,0
Harmeet Singh (2),0
B Akhil,0
S Ladda,0
SE Rutherford,0
KAJ Roach,0
OA Shah,0
AD Hales,0
T Thushara,0
NB Singh,0
GR Napier,0
RA Shaikh,0
CM Gautam,0
SC Kuggeleijn,0
P Dubey,0
RE van der Merwe,0
CA Pujara,0
D Padikkal,0
SN Khan,0
Ravi Bishnoi,0
RR Rossouw,0
MG Neser,0
Y Gnaneswara Rao,0
PM Sarvesh Kumar,0
DT Patil,0
AT Carey,0
Arshdeep Singh,0
SS Cottrell,0
Younis Khan,0
Misbah-ul-Haq,0
JL Pattinson,0
DJ Harris,0
Tejas Baroka,0
CR Woakes,0
Niraj Patel,0
Y Nagar,0
SA Abbott,0
T Taibu,0
Jaskaran Singh,0
P Dogra,0
BJ Haddin,0
AN Ghosh,0
K Gowtham,0
S Narwal,0
C Munro,0
JM Kemp,0
Avesh Khan,0
RR Sarwan,0
CK Kapugedera,0
PR Shah,0
N Jagadeesan,0
MC Juneja,0
KL Nagarkoti,0
Kamran Akmal,0
JO Holder,0
A Ashish Reddy,0
Shahid Afridi,0
C Nanda,0
A Nel,0
Ankit Soni,0
M Prasidh Krishna,0
MA Wood,0
RS Gavaskar,0
CA Ingram,0
M Ashwin,0
LA Carseldine,0
S Badree,0
JW Hastings,0
MN van Wyk,0
DS Lehmann,0
BE Hendricks,0
DB Das,0
RS Sodhi,0
X Thalaivan Sargunam,0
NLTC Perera,0
TR Birt,0
Harpreet Brar,0
SN Thakur,0
UA Birla,0
Shoaib Malik,0
T Banton,0
AS Yadav,0
S Tyagi,0
S Kaul,0
DM Bravo,0
MJ Santner,0
MJ Henry,0
P Awana,0
B Chipli,0
DS Kulkarni,0
VY Mahesh,0
BMAJ Mendis,0
JPR Scantlebury-Searles,0
DJ Jacobs,0
RK Singh,0
UBT Chand,0
AB Barath,0
S Lamichhane,0
P Prasanth,0
BB Samantray,0
TM Srivastava,0
RK Bhui,0
YA Abdulla,0
Swapnil Singh,0
Rasikh Salam,0
Mohammad Hafeez,0
P Suyal,0
SS Tiwary,0
B Laughlin,0
DNT Zoysa,0
SM Harwood,0
JJ van der Wath,0
Vishnu Vinod,0
M Kaif,0
Kamran Khan,0
FH Edwards,0
KW Richardson,0
Joginder Sharma,0
C Ganapathy,0
RW Price,0
MDKJ Perera,0
VS Yeligati,0
SD Lad,0
AS Raut,0
SD Chitnis,0
M Markande,0
VS Malik,0
DB Ravi Teja,0
YBK Jaiswal,0
DJ Willey,0
L Ablish,0
SJ Srivastava,0
CJ Ferguson,0
IC Pandey,0
Abdur Razzak,0
S Kaushik,0
RR Bose,0
SP Jackson,0
S Midhun,0
K Santokie,0
BB Sran,0
B Geeves,0
R Rampaul,0
YV Takawale,0
A Mithun,0
SB Styris,0
MB Parmar,0
J Suchith,0
D Wiese,0
Shoaib Ahmed,0
Y Venugopal Rao,0
AS Roy,0
AA Kazi,0
SB Bangar,0
AB McDonald,0
J Syed Mohammad,0
W Jaffer,0
I Malhotra,0
F Behardien,0
KM Asif,0
MS Wade,0
M Rawat,0
L Ronchi,0
M de Lange,0
SP Fleming,0
UT Khawaja,0
ND Doshi,0
D Salunkhe,0
TS Mills,0
DP Vijaykumar,0
ER Dwivedi,0
Mohammad Ashraful,0
WA Mota,0
Gurkeerat Singh,0
GS Sandhu,0
SS Sarkar,0
Monu Kumar,0
CK Langeveldt,0
NS Naik,0
V Shankar,0
SMSM Senanayake,0
K Khejroliya,0
D Kalyankrishna,0
DH Yagnik,0
Harpreet Singh,0
AL Menaria,0
E Lewis,0
Anand Rajan,0
GC Viljoen,0
DJM Short,0
S Rana,0
AJ Turner,0
R Bishnoi,0
BJ Rohrer,0
C de Grandhomme,0
R Shukla,0
RJ Peterson,0
S Dube,0
